date,county,cases,deaths
3/24/2020,Herkimer,4,0
3/24/2020,Jefferson,2,0
3/24/2020,Livingston,3,0
3/24/2020,Madison,5,0
3/24/2020,Monroe,96,0
3/24/2020,Montgomery,3,0
3/24/2020,Nassau,2869,9
3/24/2020,New York,14905,192
3/24/2020,Niagara,11,0
3/24/2020,Oneida,8,0
3/24/2020,Onondaga,60,0
3/24/2020,Ontario,7,0
3/24/2020,Orange,498,0
3/24/2020,Orleans,2,0
3/24/2020,Oswego,2,0
3/24/2020,Otsego,1,0
3/24/2020,Putnam,67,0
3/24/2020,Rensselaer,30,0
3/24/2020,Rockland,671,5
3/24/2020,Saratoga,60,0
3/24/2020,Schenectady,46,0
3/24/2020,Schoharie,1,0
3/24/2020,St. Lawrence,1,0
3/24/2020,Steuben,5,0
3/24/2020,Suffolk,1880,13
3/24/2020,Sullivan,30,0
3/24/2020,Tioga,1,0
3/24/2020,Tompkins,16,0
3/24/2020,Ulster,47,0
3/24/2020,Warren,2,0
3/24/2020,Washington,3,0
3/24/2020,Wayne,6,0
3/24/2020,Westchester,3891,6
3/24/2020,Wyoming,4,0
3/25/2020,Albany,152,0
3/25/2020,Allegany,2,0
3/25/2020,Broome,11,1
3/25/2020,Cayuga,2,0
3/25/2020,Chautauqua,1,0
3/25/2020,Chemung,1,0
3/25/2020,Chenango,3,0
3/25/2020,Clinton,10,0
3/25/2020,Columbia,12,0
3/25/2020,Cortland,2,0
3/25/2020,Delaware,5,0
3/25/2020,Dutchess,153,0
3/25/2020,Erie,122,0
3/25/2020,Essex,4,0
3/25/2020,Franklin,1,0
3/25/2020,Fulton,1,0
3/25/2020,Genesee,2,0
3/25/2020,Greene,4,0
3/25/2020,Hamilton,2,0
3/25/2020,Herkimer,5,0
3/25/2020,Jefferson,2,0
3/25/2020,Livingston,3,0
3/25/2020,Madison,7,0
3/25/2020,Monroe,118,0
3/25/2020,Montgomery,4,0
3/25/2020,Nassau,3285,17
3/25/2020,New York,20011,280
3/25/2020,Niagara,12,0
3/25/2020,Oneida,9,0
3/25/2020,Onondaga,65,0
3/25/2020,Ontario,9,0
3/25/2020,Orange,638,0
3/25/2020,Orleans,2,0
3/25/2020,Oswego,2,0
3/25/2020,Otsego,2,0
3/25/2020,Putnam,84,0
3/25/2020,Rensselaer,31,0
3/25/2020,Rockland,1069,7
3/25/2020,Saratoga,64,0
3/25/2020,Schenectady,55,0
3/25/2020,Schoharie,2,0
3/25/2020,St. Lawrence,1,0
3/25/2020,Steuben,8,0
3/25/2020,Suffolk,2260,20
3/25/2020,Sullivan,39,0
3/25/2020,Tioga,1,0
3/25/2020,Tompkins,16,0
3/25/2020,Ulster,65,0
3/25/2020,Warren,2,0
3/25/2020,Washington,4,0
3/25/2020,Wayne,7,0
3/25/2020,Westchester,4691,6
3/25/2020,Wyoming,4,0
3/26/2020,Albany,171,0
3/26/2020,Allegany,2,0
3/26/2020,Broome,16,2
3/26/2020,Cayuga,2,0
3/26/2020,Chautauqua,1,0
3/26/2020,Chemung,7,0
3/26/2020,Chenango,3,0
3/26/2020,Clinton,11,0
3/26/2020,Columbia,13,0
3/26/2020,Cortland,2,0
3/26/2020,Delaware,7,0
3/26/2020,Dutchess,190,2
3/26/2020,Erie,134,2
3/26/2020,Essex,4,0
3/26/2020,Franklin,1,0
3/26/2020,Fulton,1,0
3/26/2020,Genesee,4,0
3/26/2020,Greene,5,0
3/26/2020,Hamilton,2,0
3/26/2020,Herkimer,7,0
3/26/2020,Jefferson,3,0
3/26/2020,Livingston,3,0
3/26/2020,Madison,9,0
3/26/2020,Monroe,139,3
3/26/2020,Montgomery,5,0
3/26/2020,Nassau,3914,19
3/26/2020,New York,23112,365
3/26/2020,Niagara,14,0
3/26/2020,Oneida,13,0
3/26/2020,Onondaga,83,0
3/26/2020,Ontario,11,0
3/26/2020,Orange,751,2
3/26/2020,Orleans,2,0
3/26/2020,Oswego,4,0
3/26/2020,Otsego,3,0
3/26/2020,Putnam,94,0
3/26/2020,Rensselaer,32,0
3/26/2020,Rockland,1197,7
3/26/2020,Saratoga,73,0
3/26/2020,Schenectady,62,0
3/26/2020,Schoharie,2,0
3/26/2020,St. Lawrence,2,0
3/26/2020,Steuben,11,0
3/26/2020,Suffolk,2735,22
3/26/2020,Sullivan,53,0
3/26/2020,Tioga,2,0
3/26/2020,Tompkins,22,0
3/26/2020,Ulster,89,0
3/26/2020,Warren,2,0
3/26/2020,Washington,4,0
3/26/2020,Wayne,8,0
3/26/2020,Westchester,5944,8
3/26/2020,Wyoming,7,0
